"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_builders","TestVenueBuilder","","","test_update_custom_venue_not_found","Негативный тест: обновление несуществующей площадки через Builder."
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","0","tests.unit","test_m_lodging_service","","","","test_delete_failure",""
"passed","Thu Feb 26 23:05:51 UTC 2026","Thu Feb 26 23:05:51 UTC 2026","5","tests.integration.activity_serv","test_get_empty_list_activity_it","","","","test_get_empty_list_entertainments",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","3","tests.unit","test_m_event_service","","","","test_link_users_error",""
"passed","Thu Feb 26 23:05:49 UTC 2026","Thu Feb 26 23:05:49 UTC 2026","98","tests.integration.session_serv","test_get_by_type_session_it","","","","test_get_sessions_by_type_success",""
"passed","Thu Feb 26 23:04:48 UTC 2026","Thu Feb 26 23:04:48 UTC 2026","1","tests.unit","test_m_program_service","","","","test_service_should_throw_exception_at_change_transport",""
"passed","Thu Feb 26 23:05:55 UTC 2026","Thu Feb 26 23:05:55 UTC 2026","2","tests.integration.lodging_serv","test_get_by_id_non_existen_lodging_it","","","","test_get_accommodation_by_id_not_found",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","0","tests.unit","test_m_venue_service","","","","test_service_should_call_get_list_on_repository",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","3","tests.unit","test_m_event_service","","","","test_link_activities_error",""
"passed","Thu Feb 26 23:05:57 UTC 2026","Thu Feb 26 23:05:57 UTC 2026","1","tests.integration.program_serv","test_get_by_id_non_existen_program_it","","","","test_get_program_by_id_not_found",""
"passed","Thu Feb 26 23:04:48 UTC 2026","Thu Feb 26 23:04:48 UTC 2026","1","tests.unit","test_m_user_service","","","","test_service_should_throw_exception_at_delete_not_existed_user",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","2","tests.unit","test_builders","TestEventBuilder","","","test_add_duplicate_event_using_mother","Негативный тест: добавление дублирующего мероприятия через ObjectMother."
"passed","Thu Feb 26 23:05:49 UTC 2026","Thu Feb 26 23:05:49 UTC 2026","6","tests.integration.session_serv","test_get_empty_list_session_it","","","","test_get_empty_sessions",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","0","tests.unit","test_m_activity_service","","","","test_add_failure",""
"passed","Thu Feb 26 23:05:53 UTC 2026","Thu Feb 26 23:05:54 UTC 2026","266","tests.integration.user_serv","test_wrong_register_it","","","","test_register_user_duplicate_raises",""
"passed","Thu Feb 26 23:04:48 UTC 2026","Thu Feb 26 23:04:48 UTC 2026","0","tests.unit","test_m_program_service","","","","test_service_should_throw_exception_at_add_duplicate_program",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","0","tests.unit","test_m_venue_service","","","","test_service_should_successfull_delete_existed_city",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","2","tests.unit","test_m_event_service","","","","test_link_users_success",""
"passed","Thu Feb 26 23:05:50 UTC 2026","Thu Feb 26 23:05:50 UTC 2026","3","tests.integration.activity_serv","test_get_list_activity_it","","","","test_get_all_entertainments_success",""
